symboling,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
0,0,0,1,12228.707142857143,2,0,104.9,175.0,66.1,54.4,2700,10715.84375,2,134,13599.09090909091,3.43,3.64,22.0,72,4200,31,39,18344.0
0,1,0,1,12228.707142857143,2,0,107.9,186.7,68.4,56.7,3075,15758.57142857143,2,120,14905.180327868853,3.46,2.19,8.4,95,5000,19,24,15580.0
0,1,0,1,11600.533333333333,1,0,95.7,169.7,63.6,59.1,2280,10715.84375,2,92,7391.068627450981,3.05,3.03,9.0,62,4800,31,37,6918.0
1,1,0,1,12228.707142857143,1,0,94.5,165.3,63.8,54.5,1971,10715.84375,2,97,7391.068627450981,3.15,3.29,9.4,69,5200,31,37,7499.0
0,1,0,0,9943.596153846154,1,0,96.5,167.5,65.2,53.3,2289,10715.84375,2,110,7663.2,3.15,3.58,9.0,86,5800,27,33,9095.0
1,1,0,1,9943.596153846154,1,0,93.7,157.3,63.8,50.6,1967,10715.84375,2,90,7391.068627450981,2.97,3.23,9.4,68,5500,31,38,6229.0
2,1,0,0,9943.596153846154,1,0,93.7,157.9,63.6,53.7,2120,7951.875,2,108,7391.068627450981,3.62,2.64,8.7,73,4400,26,31,7053.0
0,0,1,1,12228.707142857143,2,0,107.9,186.7,68.4,56.7,3252,15758.57142857143,2,152,13599.09090909091,3.7,3.52,21.0,95,4150,28,33,16900.0
3,1,1,0,9943.596153846154,1,0,95.9,173.2,66.3,50.2,2811,10715.84375,2,156,12964.0,3.6,3.9,7.0,145,5000,19,24,12964.0
1,1,0,0,9943.596153846154,1,0,94.5,155.9,63.6,52.0,1874,10715.84375,2,90,7391.068627450981,3.03,3.11,9.6,70,5400,38,43,6295.0
3,1,0,0,9943.596153846154,2,0,102.9,183.5,67.7,52.0,2976,16345.125,4,171,14905.180327868853,3.27,3.35,9.3,161,5200,20,24,16558.0
-1,1,0,1,12228.707142857143,1,0,102.4,175.6,66.5,54.9,2326,10715.84375,2,122,14905.180327868853,3.31,3.54,8.7,92,4200,29,34,8948.0
1,1,0,1,11600.533333333333,1,0,94.5,170.2,63.8,53.5,2024,10715.84375,2,97,7391.068627450981,3.15,3.29,9.4,69,5200,31,37,7349.0
2,1,0,0,12228.707142857143,1,0,99.8,177.3,66.3,53.1,2507,10715.84375,3,136,14905.180327868853,3.19,3.4,8.5,110,5500,19,25,15250.0
2,1,0,0,9824.0,2,0,98.4,176.2,65.6,52.0,2540,10715.84375,2,146,14905.180327868853,3.62,3.5,9.3,116,4800,24,30,8449.0
3,1,0,0,9943.596153846154,2,0,95.3,169.0,65.7,49.6,2380,13711.666666666666,0,70,12745.0,3.33,3.255,9.4,101,6000,17,23,11845.0
2,1,0,0,9943.596153846154,1,0,93.7,157.3,64.4,50.8,1918,10715.84375,2,92,7391.068627450981,2.97,3.23,9.4,68,5500,37,41,5389.0
0,1,0,1,12228.707142857143,0,0,97.0,172.0,65.4,54.3,2385,7951.875,2,108,7391.068627450981,3.62,2.64,9.0,82,4800,24,25,9233.0
3,1,0,0,9943.596153846154,2,0,91.3,170.7,67.9,49.7,3071,15999.2,4,181,14905.180327868853,3.43,3.27,9.0,160,5200,19,25,17199.0
-1,1,0,1,9943.596153846154,1,0,102.4,175.6,66.5,53.9,2458,10715.84375,2,122,14905.180327868853,3.31,3.54,8.7,92,4200,27,32,11248.0
1,1,1,0,9943.596153846154,2,0,102.7,178.4,68.0,54.8,2910,10715.84375,2,140,14905.180327868853,3.78,3.12,8.0,175,5000,19,24,16503.0
-1,0,1,1,12228.707142857143,1,0,102.4,175.6,66.5,54.9,2480,10715.84375,2,110,13599.09090909091,3.27,3.35,22.5,73,4500,30,33,10698.0
2,1,0,0,9943.596153846154,1,0,86.6,144.6,63.9,50.8,1819,10715.84375,2,92,7663.2,2.91,3.41,9.2,76,6000,31,38,6855.0
0,1,0,0,12228.707142857143,2,0,101.2,176.8,64.8,54.3,2710,10715.84375,4,164,14905.180327868853,3.31,3.19,9.0,121,4250,21,28,20970.0
0,1,0,1,12228.707142857143,1,0,96.5,163.4,64.0,54.5,2010,10715.84375,2,92,7663.2,2.91,3.41,9.2,76,6000,30,34,7295.0
3,1,0,0,9943.596153846154,2,0,94.5,168.9,68.3,50.2,2778,10715.84375,2,151,14905.180327868853,3.94,3.11,9.5,143,5500,19,27,22018.0
1,1,0,0,12228.707142857143,1,0,96.5,169.1,66.0,51.0,2293,10715.84375,2,110,7391.068627450981,3.15,3.58,9.1,100,5500,25,31,10345.0
0,1,0,1,12228.707142857143,1,0,95.7,166.3,64.4,53.0,2081,10715.84375,2,98,7391.068627450981,3.19,3.03,9.0,70,4800,30,37,6938.0
3,1,1,0,9943.596153846154,1,0,99.1,186.6,66.5,56.1,2808,16345.125,2,121,14905.180327868853,3.54,3.07,9.0,160,5500,19,26,18150.0
2,1,0,0,9943.596153846154,0,0,93.3,157.3,63.8,55.7,2240,7951.875,2,108,7391.068627450981,3.62,2.64,8.7,73,4400,26,31,7603.0
1,1,0,0,9943.596153846154,1,0,93.1,159.1,64.2,54.1,1900,10715.84375,2,91,7391.068627450981,3.03,3.15,9.0,68,5000,31,38,6095.0
0,1,0,1,12228.707142857143,1,0,96.5,175.4,65.2,54.1,2465,10715.84375,2,110,14905.180327868853,3.15,3.58,9.0,101,5800,24,28,12945.0
3,1,1,0,9943.596153846154,2,0,95.9,173.2,66.3,50.2,2818,10715.84375,2,156,10684.5,3.59,3.86,7.0,145,5000,19,24,12764.0
2,1,0,0,9943.596153846154,1,0,93.7,157.3,64.4,50.8,2004,10715.84375,2,92,7391.068627450981,2.97,3.23,9.4,68,5500,31,38,6669.0
1,1,1,0,9943.596153846154,1,0,93.7,157.3,63.8,50.8,2128,10715.84375,2,98,10684.5,3.03,3.39,7.6,102,5500,24,30,7957.0
1,1,0,1,12228.707142857143,1,0,93.7,157.3,63.8,50.6,1989,10715.84375,2,90,7391.068627450981,2.97,3.23,9.4,68,5500,31,38,7609.0
2,1,1,1,12228.707142857143,1,0,99.1,186.6,66.5,56.1,2847,16345.125,2,121,14905.180327868853,3.54,3.07,9.0,160,5500,19,26,18620.0
-1,1,0,1,12228.707142857143,2,0,109.1,188.8,68.9,55.5,2952,10715.84375,2,141,14905.180327868853,3.78,3.15,9.5,114,5400,23,28,16845.0
0,1,1,1,12228.707142857143,2,0,108.0,186.7,68.3,56.0,3130,15758.57142857143,2,134,14905.180327868853,3.61,3.21,7.0,142,5600,18,24,18150.0
1,1,0,0,9943.596153846154,2,0,94.5,171.2,65.5,52.4,2823,15999.2,4,152,14905.180327868853,2.68,3.47,9.0,154,5000,19,26,16500.0
2,1,0,0,9943.596153846154,1,0,93.7,157.3,64.4,50.8,1944,10715.84375,2,92,7391.068627450981,2.97,3.23,9.4,68,5500,31,38,6189.0
2,1,0,0,9943.596153846154,2,0,96.0,172.6,65.2,51.4,2734,10715.84375,2,119,11048.0,3.43,3.23,9.2,90,5000,24,29,11048.0
1,1,0,1,12228.707142857143,1,0,93.7,167.3,63.8,50.8,2191,10715.84375,2,98,7391.068627450981,2.97,3.23,9.4,68,5500,31,38,7609.0
1,1,0,1,12228.707142857143,1,0,96.3,172.4,65.4,51.6,2365,10715.84375,2,122,7391.068627450981,3.35,3.46,8.5,88,5000,25,32,6989.0
2,1,0,0,9943.596153846154,1,0,93.7,156.9,63.4,53.7,2050,7951.875,2,97,7391.068627450981,3.62,2.36,9.0,69,4900,31,36,5118.0
0,1,0,1,11600.533333333333,1,0,96.5,157.1,63.9,58.3,2024,10715.84375,2,92,7663.2,2.92,3.41,9.2,76,6000,30,34,7295.0
1,1,0,0,9943.596153846154,1,0,98.8,177.8,66.5,53.7,2385,10715.84375,2,122,7391.068627450981,3.39,3.39,8.6,84,4800,26,32,10595.0
1,1,0,0,9943.596153846154,1,0,93.7,157.3,63.8,50.8,1876,10715.84375,2,90,7391.068627450981,2.97,3.23,9.4,68,5500,31,38,6377.0
2,1,0,1,12228.707142857143,1,0,99.1,186.6,66.5,56.1,2758,10715.84375,2,121,14905.180327868853,3.54,3.07,9.3,110,5250,21,28,15510.0
0,0,1,1,12228.707142857143,1,0,100.4,180.2,66.9,55.1,2579,10715.84375,2,97,13599.09090909091,3.01,3.4,23.0,68,4500,33,38,13845.0
1,1,0,0,9943.596153846154,1,0,93.7,150.0,64.0,52.6,1940,10715.84375,2,92,7663.2,2.91,3.41,9.2,76,6000,30,34,6529.0
0,1,0,1,12228.707142857143,2,0,101.2,176.8,64.8,54.3,2395,10715.84375,2,108,14905.180327868853,3.5,2.8,8.8,101,5800,23,29,16925.0
-1,1,1,1,11600.533333333333,2,0,104.3,188.8,67.2,57.5,3157,10715.84375,2,130,14905.180327868853,3.62,3.15,7.5,162,5100,17,22,18950.0
1,1,0,0,12228.707142857143,2,0,94.5,168.7,64.0,52.6,2169,10715.84375,2,98,7391.068627450981,3.19,3.03,9.0,70,4800,29,34,8058.0
1,1,0,1,12228.707142857143,1,0,105.8,192.7,71.4,55.7,2844,10715.84375,3,136,14905.180327868853,3.19,3.4,8.5,110,5500,19,25,17710.0
1,1,1,0,12228.707142857143,1,0,93.7,157.3,63.8,50.6,2191,10715.84375,2,98,14905.180327868853,3.03,3.39,7.6,102,5500,24,30,8558.0
-2,1,0,1,12228.707142857143,2,0,104.3,188.8,67.2,56.2,2935,10715.84375,2,141,14905.180327868853,3.78,3.15,9.5,114,5400,24,28,15985.0
0,1,0,1,12228.707142857143,1,0,97.2,172.0,65.4,52.5,2145,7951.875,2,108,7391.068627450981,3.62,2.64,9.5,82,4800,32,37,7126.0
2,1,0,1,12228.707142857143,0,0,99.4,176.6,66.4,54.3,2824,10715.84375,3,136,14905.180327868853,3.19,3.4,8.0,115,5500,18,22,17450.0
1,1,0,0,9943.596153846154,1,0,93.7,150.0,64.0,52.6,1837,10715.84375,2,79,7663.2,2.91,3.07,10.1,60,5500,38,42,5399.0
2,0,1,1,12228.707142857143,1,0,97.3,171.7,65.5,55.7,2319,10715.84375,2,97,13599.09090909091,3.01,3.4,23.0,68,4500,37,42,9495.0
0,1,0,1,12228.707142857143,2,0,107.9,186.7,68.4,56.7,3075,15758.57142857143,2,120,14905.180327868853,3.46,3.19,8.4,97,5000,19,24,16630.0
0,1,0,1,11600.533333333333,0,0,96.9,173.6,65.4,54.9,2420,7951.875,2,108,7391.068627450981,3.62,2.64,9.0,82,4800,23,29,8013.0
2,1,0,0,12228.707142857143,2,0,101.2,176.8,64.8,54.3,2395,10715.84375,2,108,14905.180327868853,3.5,2.8,8.8,101,5800,23,29,16430.0
0,1,0,1,12228.707142857143,1,0,98.8,177.8,66.5,55.5,2410,10715.84375,2,122,7391.068627450981,3.39,3.39,8.6,84,4800,26,32,10245.0
1,1,0,0,9943.596153846154,1,0,93.7,157.3,63.8,50.8,1918,10715.84375,2,90,7391.068627450981,2.97,3.23,9.4,68,5500,37,41,5572.0
1,1,0,0,9943.596153846154,1,0,95.7,158.7,63.6,54.5,1985,10715.84375,2,92,7391.068627450981,3.05,3.03,9.0,62,4800,35,39,5348.0
2,1,0,0,9824.0,2,0,98.4,176.2,65.6,52.0,2679,10715.84375,2,146,14905.180327868853,3.62,3.5,9.3,116,4800,24,30,11199.0
3,1,0,0,14814.75,2,0,88.6,168.8,64.1,48.8,2548,16345.125,2,130,14905.180327868853,3.47,2.68,9.0,111,5000,21,27,13495.0
2,0,0,1,12228.707142857143,1,0,97.3,171.7,65.5,55.7,2264,10715.84375,2,97,13599.09090909091,3.01,3.4,23.0,52,4800,37,46,7995.0
2,1,0,0,12228.707142857143,1,0,97.3,171.7,65.5,55.7,2209,10715.84375,2,109,14905.180327868853,3.19,3.4,9.0,85,5250,27,34,7975.0
-1,0,1,1,12228.707142857143,2,0,109.1,188.8,68.9,55.5,3217,10715.84375,4,145,13599.09090909091,3.01,3.4,23.0,106,4800,26,27,22470.0
0,1,0,1,9943.596153846154,1,0,98.8,177.8,66.5,55.5,2425,10715.84375,2,122,7391.068627450981,3.39,3.39,8.6,84,4800,26,32,11245.0
1,1,0,0,12228.707142857143,1,0,94.5,155.9,63.6,52.0,1874,10715.84375,2,90,7391.068627450981,3.03,3.11,9.6,70,5400,38,43,8916.5
-1,1,0,1,11600.533333333333,1,0,103.3,174.6,64.6,59.8,2535,10715.84375,2,122,7391.068627450981,3.34,3.46,8.5,88,5000,24,30,8921.0
0,1,0,1,12228.707142857143,1,0,96.5,175.4,62.5,54.1,2372,10715.84375,2,110,7663.2,3.15,3.58,9.0,86,5800,27,33,10295.0
0,0,1,1,12228.707142857143,2,0,107.9,186.7,68.4,56.7,3197,15758.57142857143,2,152,13599.09090909091,3.7,3.52,21.0,95,4150,28,33,13200.0
-1,1,0,1,11600.533333333333,1,0,103.3,174.6,64.6,59.8,2535,10715.84375,2,122,7391.068627450981,3.35,3.46,8.5,88,5000,24,30,8921.0
1,1,1,0,9943.596153846154,1,0,93.7,157.3,63.8,50.8,2128,10715.84375,2,98,14905.180327868853,3.03,3.39,7.6,102,5500,24,30,7957.0
0,1,0,1,11600.533333333333,0,0,95.7,169.7,63.6,59.1,3110,10715.84375,2,92,7391.068627450981,3.05,3.03,9.0,62,4800,27,32,8778.0
3,1,0,0,14814.75,1,0,94.5,159.3,64.2,55.6,2254,10715.84375,2,109,14905.180327868853,3.19,3.4,8.5,90,5500,24,29,11595.0
3,1,0,0,9943.596153846154,1,0,96.3,173.0,65.4,49.4,2328,10715.84375,2,122,7391.068627450981,3.35,3.46,8.5,88,5000,25,32,8499.0
0,1,0,1,12228.707142857143,1,0,96.5,175.4,65.2,54.1,2304,10715.84375,2,110,7663.2,3.15,3.58,9.0,86,5800,27,33,8845.0
2,1,0,0,14814.75,2,0,98.4,176.2,65.6,53.0,2975,10715.84375,2,146,14905.180327868853,3.62,3.5,9.3,116,4800,24,30,17669.0
1,1,0,0,12228.707142857143,1,0,94.5,165.3,63.8,54.5,1951,10715.84375,2,97,7391.068627450981,3.15,3.29,9.4,69,5200,31,37,7299.0
0,0,0,1,12228.707142857143,1,0,95.7,166.3,64.4,53.0,2275,10715.84375,2,110,13599.09090909091,3.27,3.35,22.5,56,4500,34,36,7898.0
0,1,0,1,12228.707142857143,2,0,94.3,170.7,61.8,53.5,2337,10715.84375,2,111,7391.068627450981,3.31,3.23,8.5,78,4800,24,29,6785.0
0,1,0,1,12228.707142857143,1,0,97.2,172.0,65.4,52.5,2190,7951.875,2,108,7391.068627450981,3.62,2.64,9.5,82,4400,28,33,7775.0
2,1,0,1,12228.707142857143,1,0,99.8,176.6,66.2,54.3,2337,10715.84375,2,109,14905.180327868853,3.19,3.4,10.0,102,5500,24,30,13950.0
1,1,0,1,12228.707142857143,1,0,93.1,166.8,64.2,54.1,1945,10715.84375,2,91,7391.068627450981,3.03,3.15,9.0,68,5000,31,38,6695.0
2,1,0,1,12228.707142857143,1,0,99.1,186.6,66.5,56.1,2695,10715.84375,2,121,14905.180327868853,3.54,3.07,9.3,110,5250,21,28,12170.0
2,1,0,1,12228.707142857143,1,0,97.3,171.7,65.5,55.7,2212,10715.84375,2,109,14905.180327868853,3.19,3.4,9.0,85,5250,27,34,8195.0
0,1,0,1,9943.596153846154,1,0,95.7,166.3,64.4,52.8,2122,10715.84375,2,98,7391.068627450981,3.19,3.03,9.0,70,4800,28,34,8358.0
3,1,0,0,9943.596153846154,1,0,94.5,165.7,64.0,51.4,2221,10715.84375,2,109,14905.180327868853,3.19,3.4,8.5,90,5500,24,29,9980.0
3,1,1,0,9943.596153846154,1,0,96.3,173.0,65.4,49.4,2370,10715.84375,2,110,10684.5,3.17,3.46,7.5,116,5500,23,30,9959.0
1,1,0,0,9943.596153846154,1,0,93.7,150.0,64.0,52.6,1956,10715.84375,2,92,7663.2,2.91,3.41,9.2,76,6000,30,34,7129.0
1,1,0,1,11600.533333333333,1,0,105.8,192.7,71.4,55.7,2954,10715.84375,3,136,14905.180327868853,3.19,3.4,8.5,110,5500,19,25,18920.0
1,1,0,0,12228.707142857143,1,0,94.5,165.3,63.8,54.5,1918,10715.84375,2,97,7391.068627450981,3.15,3.29,9.4,69,5200,31,37,6649.0
3,1,1,0,9943.596153846154,1,0,95.9,173.2,66.3,50.2,2921,10715.84375,2,156,10684.5,3.59,3.86,7.0,145,5000,19,24,14869.0
-1,1,0,1,11600.533333333333,2,0,104.5,187.8,66.5,54.1,3151,16345.125,4,161,14905.180327868853,3.27,3.35,9.2,156,5200,19,24,15750.0
2,1,0,1,12228.707142857143,1,0,97.3,171.7,65.5,55.7,2275,10715.84375,2,109,14905.180327868853,3.19,3.4,9.0,85,5250,27,34,8495.0
1,1,0,0,12228.707142857143,1,0,94.5,165.3,63.8,54.5,1889,10715.84375,2,97,7391.068627450981,3.15,3.29,9.4,69,5200,31,37,5499.0
1,1,1,1,12228.707142857143,1,0,105.8,192.7,71.4,55.9,3086,10715.84375,3,131,14905.180327868853,3.13,3.4,8.3,140,5500,17,20,23875.0
0,1,0,1,12228.707142857143,2,0,101.2,176.8,64.8,54.3,2765,10715.84375,4,164,14905.180327868853,3.31,3.19,9.0,121,4250,21,28,21105.0
1,1,0,0,9943.596153846154,1,0,98.8,177.8,66.5,53.7,2385,10715.84375,2,122,7391.068627450981,3.39,3.39,8.6,84,4800,26,32,8845.0
-1,1,0,1,12228.707142857143,1,0,102.4,175.6,66.5,54.9,2414,10715.84375,2,122,14905.180327868853,3.31,3.54,8.7,92,4200,27,32,10898.0
2,1,0,0,9943.596153846154,1,0,96.1,176.8,66.6,50.5,2460,10715.84375,2,132,14905.180327868853,3.46,3.9,8.7,90,5100,23,31,9895.0
-1,1,0,1,12228.707142857143,2,0,104.5,187.8,66.5,54.1,3131,16345.125,4,171,14905.180327868853,3.27,3.35,9.2,156,5200,20,24,15690.0
2,1,0,0,9943.596153846154,2,0,98.4,176.2,65.6,52.0,2714,10715.84375,2,146,14905.180327868853,3.62,3.5,9.3,116,4800,24,30,11549.0
-2,1,1,1,12228.707142857143,2,0,104.3,188.8,67.2,56.2,3045,10715.84375,2,130,14905.180327868853,3.62,3.15,7.5,162,5100,17,22,18420.0
0,0,0,1,12228.707142857143,1,0,98.8,177.8,66.5,55.5,2443,10715.84375,2,122,13599.09090909091,3.39,3.39,22.7,64,4650,36,42,10795.0
1,1,0,1,12228.707142857143,1,0,93.1,166.8,64.2,54.1,1950,10715.84375,2,91,7391.068627450981,3.08,3.15,9.0,68,5000,31,38,7395.0
0,1,0,1,12228.707142857143,2,0,107.9,186.7,68.4,56.7,3020,15758.57142857143,2,120,14905.180327868853,3.46,3.19,8.4,97,5000,19,24,11900.0
1,1,0,0,9943.596153846154,1,0,93.1,159.1,64.2,54.1,1890,10715.84375,2,91,7391.068627450981,3.03,3.15,9.0,68,5000,30,31,5195.0
-1,1,1,1,12228.707142857143,2,0,109.1,188.8,68.8,55.5,3049,10715.84375,2,141,14905.180327868853,3.78,3.15,8.7,160,5300,19,25,19045.0
2,1,0,0,9943.596153846154,2,0,98.4,176.2,65.6,52.0,2551,10715.84375,2,146,14905.180327868853,3.62,3.5,9.3,116,4800,24,30,9989.0
3,1,0,0,9943.596153846154,2,0,95.3,169.0,65.7,49.6,2500,13711.666666666666,0,80,14905.180327868853,3.33,3.255,9.4,135,6000,16,23,15645.0
-1,1,0,1,12228.707142857143,1,0,96.3,172.4,65.4,51.6,2403,10715.84375,2,110,10684.5,3.17,3.46,7.5,116,5500,23,30,9279.0
1,1,0,0,9943.596153846154,1,0,93.7,157.3,63.8,50.8,1876,10715.84375,2,90,7391.068627450981,2.97,3.23,9.41,68,5500,37,41,5572.0
3,1,0,0,9943.596153846154,2,0,95.3,169.0,65.7,49.6,2385,13711.666666666666,0,70,12745.0,3.33,3.255,9.4,101,6000,17,23,13645.0
0,1,0,1,12228.707142857143,1,0,95.7,166.3,64.4,53.0,2094,10715.84375,2,98,7391.068627450981,3.19,3.03,9.0,70,4800,38,47,7738.0
-1,1,0,1,11600.533333333333,2,0,104.3,188.8,67.2,57.5,3042,10715.84375,2,141,14905.180327868853,3.78,3.15,9.5,114,5400,24,28,16515.0
0,1,0,0,9943.596153846154,1,0,96.5,167.5,65.2,53.3,2236,10715.84375,2,110,7663.2,3.15,3.58,9.0,86,5800,27,33,7895.0
0,1,0,1,9943.596153846154,1,0,95.7,166.3,64.4,52.8,2109,10715.84375,2,98,7391.068627450981,3.19,3.03,9.0,70,4800,30,37,7198.0
0,1,0,1,11600.533333333333,1,0,100.4,183.1,66.9,55.1,2563,10715.84375,2,109,14905.180327868853,3.19,3.4,9.0,88,5500,25,31,12290.0
3,1,0,0,14814.75,2,0,88.6,168.8,64.1,48.8,2548,16345.125,2,130,14905.180327868853,3.47,2.68,9.0,111,5000,21,27,16500.0
1,1,0,0,9943.596153846154,1,0,93.1,159.1,64.2,54.1,1905,10715.84375,2,91,7391.068627450981,3.03,3.15,9.0,68,5000,31,38,6795.0
0,1,1,1,11600.533333333333,0,0,96.9,173.6,65.4,54.9,2650,7951.875,2,108,14905.180327868853,3.62,2.64,7.7,111,4800,23,23,11694.0
0,1,0,1,11600.533333333333,1,0,96.1,181.5,66.5,55.2,2579,10715.84375,2,132,14905.180327868853,3.46,3.9,8.7,90,5100,23,31,9295.0
1,1,0,0,9943.596153846154,1,0,95.7,158.7,63.6,54.5,2040,10715.84375,2,92,7391.068627450981,3.05,3.03,9.0,62,4800,31,38,6338.0
0,1,0,1,12228.707142857143,1,0,100.4,184.6,66.5,55.1,3060,15999.2,4,181,14905.180327868853,3.43,3.27,9.0,152,5200,19,25,13499.0
0,1,0,1,9943.596153846154,1,0,97.2,173.4,65.2,54.7,2324,10715.84375,2,120,7391.068627450981,3.33,3.47,8.5,97,5200,27,34,8949.0
0,0,1,1,12228.707142857143,2,0,107.9,186.7,68.4,56.7,3252,15758.57142857143,2,152,13599.09090909091,3.7,3.52,21.0,95,4150,28,33,17950.0
1,1,1,1,12228.707142857143,1,0,96.3,172.4,65.4,51.6,2403,10715.84375,2,110,10684.5,3.17,3.46,7.5,116,5500,23,30,9279.0
1,1,0,1,12228.707142857143,1,0,93.7,167.3,63.8,50.8,1989,10715.84375,2,90,7391.068627450981,2.97,3.23,9.4,68,5500,31,38,6692.0
-1,1,1,1,12228.707142857143,2,0,109.1,188.8,68.9,55.5,3062,10715.84375,2,141,14905.180327868853,3.78,3.15,9.5,114,5400,19,25,22625.0
0,1,0,1,12228.707142857143,1,0,94.5,158.8,63.6,52.0,1909,10715.84375,2,90,7391.068627450981,3.03,3.11,9.6,70,5400,38,43,6575.0
2,1,0,1,12228.707142857143,1,0,97.3,171.7,65.5,55.7,2300,10715.84375,2,109,14905.180327868853,3.19,3.4,10.0,100,5500,26,32,9995.0
1,1,0,0,9943.596153846154,2,0,99.2,178.5,67.9,49.7,3139,15999.2,4,181,14905.180327868853,3.43,3.27,9.0,160,5200,19,25,18399.0
1,1,0,1,12228.707142857143,2,0,103.5,189.0,66.9,55.7,3055,10715.84375,4,164,14905.180327868853,3.31,3.19,9.0,121,4250,20,25,24565.0
1,1,0,1,12228.707142857143,1,0,94.5,165.3,63.8,54.5,1938,10715.84375,2,97,7391.068627450981,3.15,3.29,9.4,69,5200,31,37,6849.0
3,1,0,0,9943.596153846154,2,0,102.9,183.5,67.7,52.0,3016,16345.125,4,171,14905.180327868853,3.27,3.35,9.3,161,5200,19,24,15998.0
0,1,0,1,11600.533333333333,1,0,100.4,184.6,66.5,56.1,3296,15999.2,4,181,14905.180327868853,3.43,3.27,9.0,152,5200,17,22,14399.0
